Point_ID	Z	X	Y
B2_1	58.172601	1.905635	-0.689485
B2_2	58.273449	1.860197	-1.026955
B2_3	57.971287	1.183443	-1.025618
B2_4	57.870078	1.229429	-0.685808
B3_1	58.102180	1.936548	-0.255762
B3_2	58.153963	1.912715	-0.607604
B3_3	57.851797	1.236551	-0.606429
B3_4	57.800002	1.260686	-0.253680
B4_1	58.098383	1.936943	0.181807
B4_2	58.098743	1.937513	-0.172751
B4_3	57.796381	1.262559	-0.172716
B4_4	57.796844	1.262133	0.180772
B5_1    58.153963       1.912715        0.607604
B5_2    58.102180       1.936578        0.255762
B5_3    57.800002       1.260686        0.253680
B5_4    57.851797       1.236551        0.606429
C2_1	58.765906	2.508159	-0.680269
C2_2	58.849805	2.433093	-1.018852
C2_3	58.363298	1.875895	-1.017560
C2_4	58.278543	1.950348	-0.680666
C3_1	58.710226	2.557110	-0.250110
C3_2	58.753054	2.519099	-0.601826
C3_3	58.264959	1.961659	-0.601743
C3_4	58.221583	2.000073	-0.247627
C4_1	58.703623	2.562093	0.190002
C4_2	58.705442	2.561194	-0.167195
C4_3	58.218758	2.005294	-0.165962
C4_4	58.215599	2.004563	0.190119
C5_1    58.753054       2.519099        0.601826
C5_2    58.710226       2.557110        0.250110
C5_3    58.221583       2.000073        0.247627
C5_4    58.264959       1.961659        0.601743
D2_1	59.453599	2.958456	-0.684609
D2_2	59.513003	2.866720	-1.020776
D2_3	58.892738	2.466229	-1.023149
D2_4	58.832543	2.558651	-0.683012
D3_1	59.413233	3.022251	-0.251800
D3_2	59.443516	2.974495	-0.604608
D3_3	58.821691	2.574792	-0.602270
D3_4	58.790009	2.622371	-0.250164
D4_1	59.408615	3.029279	0.184999
D4_2	59.408460	3.029372	-0.171446
D4_3	58.786560	2.628487	-0.170732
D4_4	58.786674	2.628458	0.187110
E2_1	60.231552	3.218023	-0.686979
E2_2	60.264272	3.115578	-1.024806
E2_3	59.558841	2.889026	-1.026003
E2_4	59.526600	2.992255	-0.685606
E3_1	60.208972	3.288885	-0.253435
E3_2	60.225003	3.236589	-0.607010
E3_3	59.520471	3.010549	-0.604817
E3_4	59.505491	3.061415	-0.252307
E4_1	60.207624	3.291898	0.182310
E4_2	60.205816	3.294802	-0.175718
E4_3	59.499725	3.069074	-0.172990
E4_4	59.501815	3.066497	0.184453
F2_1	61.040536	3.287719	-0.686040
F2_2	61.047720	3.177825	-1.022983
F2_3	60.309768	3.122171	-1.023622
F2_4	60.302127	3.232342	-0.684417
F3_1	61.034632	3.360172	-0.252910
F3_2	61.039189	3.304883	-0.605189
F3_3	60.300276	3.251491	-0.606613
F3_4	60.296076	3.305320	-0.252307
F4_1	61.035468	3.366688	0.183194
F4_2	61.032393	3.365866	-0.168754
F4_3	60.295462	3.308489	-0.170657
F4_4	60.295971	3.309022	0.186613
F5_1	61.038681	3.303281	0.619024
F5_2	61.035984	3.358929	0.267562
F5_3	60.295520	3.303433	0.266998
F5_4	60.300145	3.247986	0.618325
F6_1	61.048790	3.174103	1.037751
F6_2	61.040386	3.284874	0.697273
F6_3	60.301910	3.228936	0.697812
F6_4	60.310383	3.118165	1.038211
G3_1	61.840851	3.089578	-0.241393
G3_2	61.837212	3.082269	-0.597002
G3_3	61.103059	3.174668	-0.592628
G3_4	61.106632	3.181300	-0.236374
G4_1	61.838015	3.071700	0.175795
G4_2	61.836747	3.077228	-0.180087
G4_3	61.102725	3.165848	-0.176247
G4_4	61.102901	3.159499	0.179517
H3_1	62.592327	2.806102	-0.242950
H3_2	62.590848	2.812191	-0.596728
H3_3	61.894737	3.064363	-0.591447
H3_4	61.896457	3.058061	-0.234080
H4_1	62.592532	2.801772	0.169250
H4_2	62.592526	2.807584	-0.189281
H4_3	61.895300	3.057307	-0.185109
H4_4	61.895454	3.052150	0.173847
I4_1	63.257196	2.380119	0.163801
I4_2	63.254116	2.379783	-0.194012
I4_3	62.621649	2.769252	-0.188391
I4_4	62.626943	2.770519	0.169096
J4_1	63.832567	1.822779	0.164970
J4_2	63.838527	1.825276	-0.191256
J4_3	63.301221	2.335045	-0.192992
J4_4	63.296774	2.331428	0.164096
K4_1    64.298155       1.174280        0.211583
K4_2    64.294672       1.172536        -0.183978
K4_3    63.848680       1.808804        -0.183505
K4_4    63.850251       1.811906        0.213259

