"Det. Number","Det. Name","Phi (rad)","Chi (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)","In Use (1)?"
1,1,-0.6283190000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
2,2,-0.9424780000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
3,3,-1.2566400000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
4,4,-1.8849600000,0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
5,5,-2.1991100000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
6,6,-2.5132700000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
7,7,-2.1991100000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
8,8,-1.8849600000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
9,9,-1.2566400000,-0.5585050000,-0.7853981634,45.500000,15.819000,15.819000,1
10,10,1.5708000000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
11,11,-1.5708000000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
12,12,-1.2566400000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
13,13,-1.5708000000,-0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
14,14,-1.8849600000,0.0000000000,-0.7853981634,39.500000,15.819000,15.819000,1
15,15,-0.3141590000,0.2792530000,-0.7853981634,42.500000,15.819000,15.819000,1
